Train loss,Val loss,Train class accuracy,Train No object accuracy,Train object accuracy,Val class accuracy,Val No object accuracy,Val object accuracy,mAP
0.88300537,3.223117011,98.0392,99.9468,92.3633,85.4938,99.9617,69.7531,0.6431
1.113041488,2.807135974,96.4431,99.9262,90.1423,87.1069,99.9411,75.4717,0.6755
1.140401983,2.671322465,96.8781,99.9191,92.7492,83.8006,99.9362,74.4548,0.7036
0.914089457,3.143105728,97.2973,99.9433,90.7908,87.3016,99.9537,71.746,0.6939
0.958969165,2.540000609,98.3789,99.9496,87.3354,86.8502,99.9591,69.7248,0.587
0.874565912,2.968871542,97.7778,99.9413,89.798,85.3583,99.9551,69.7819,0.6722
0.832068542,2.765866143,97.8528,99.9532,88.2413,88.8889,99.9632,72.6984,0.6408
0.84328108,3.35178176,97.5232,99.9306,91.6409,88.2716,99.9455,79.0123,0.5653
0.944247821,2.830882345,98.1651,99.947,90.6218,86.6667,99.9546,75.5556,0.6708
0.899984054,2.621396576,97.3333,99.9551,89.0256,89.0966,99.9617,69.4704,0.6955
0.835927626,2.642066257,98.4756,99.9377,91.4634,86.3095,99.9471,74.7024,0.6307
0.999217269,2.353009905,98.6908,99.9547,89.0232,89.3082,99.9615,70.1258,0.6461
0.936464165,3.266189064,96.3526,99.9433,88.9564,84.6154,99.9595,72.7564,0.6794
0.823807343,2.97381728,97.1631,99.943,90.8815,86.6044,99.9577,75.3894,0.6143
0.978143917,3.332929475,96.7968,99.9327,89.7898,86.5385,99.9495,76.9231,0.5953
1.063628782,2.753548145,98.4032,99.9227,91.3174,86.2179,99.9392,74.6795,0.6429
1.028550928,2.607175674,98.364,99.9358,89.4683,90.303,99.9477,73.9394,0.6808
0.926922928,2.772674475,97.7845,99.9352,89.1239,90.303,99.9411,73.9394,0.5754
0.942075836,2.941435865,96.1962,99.9467,85.2853,85.4938,99.9617,70.0617,0.6686
0.907437314,2.413910253,98.7654,99.9511,88.4774,87.963,99.9597,69.7531,0.6855
0.885281495,2.78603019,98.1763,99.9436,91.9959,90.2516,99.9527,72.327,0.6977
1.08959029,3.032313926,95.3846,99.9373,89.5385,85.5346,99.9537,71.0692,0.6356
1.068628521,2.839446511,97.9859,99.9394,89.8288,84.4237,99.9513,74.4548,0.6391
0.989505713,2.52601082,97.998,99.9396,86.6867,87.8505,99.9534,70.405,0.7537
0.913687094,2.691509349,97.3817,99.9455,90.433,85.7605,99.9635,72.4919,0.6503
1.069809473,2.732248885,97.0348,99.9442,87.5256,87.7888,99.9574,71.6172,0.6303
0.890687391,2.834577424,98.6948,99.9435,91.2651,90.0641,99.9596,75,0.7017
0.927539248,2.919074467,98.8956,99.9493,89.6586,89.5238,99.9608,70.1587,0.6183
0.866564914,3.084457312,98.5772,99.9426,90.1423,87.619,99.9548,71.746,0.6066
0.811244725,2.966034038,98.1651,99.9465,88.787,88.9937,99.956,69.4969,0.7161
0.791861109,3.255662969,98.6748,99.9525,88.1753,84.9359,99.9634,68.5897,0.6907
0.93505779,3.091823799,97.8916,99.9481,89.1566,87.2274,99.9593,71.3396,0.7
0.881932627,2.813498378,97.771,99.9529,91.2867,86.0317,99.9655,71.1111,0.6827
0.803805958,2.852002416,98.2618,99.9526,91.7178,86.6667,99.9654,68.5714,0.6641
0.682498348,2.785267983,98.5859,99.9346,92.0202,86.2928,99.956,69.7819,0.7011
0.787040402,3.200635042,98.1763,99.954,85.9169,84.7352,99.9677,65.7321,0.6693
1.049446837,2.637446148,98.288,99.9358,89.9295,86.4198,99.9539,74.3827,0.7017
1.189683847,3.193219525,94.8413,99.9393,87.4008,83.3333,99.9602,64.8148,0.5998
1.075567118,3.15722692,98.4985,99.9401,90.4905,87.1795,99.9635,66.0256,0.5909
1.027605352,3.108719298,98.2618,99.9597,87.4233,84.7896,99.9726,63.4304,0.6489
0.982792388,3.419067706,97.9487,99.9438,90.359,86.3492,99.9662,64.7619,0.6643
0.962170596,2.773447411,97.0796,99.9526,87.1098,89.1089,99.9706,68.3168,0.6426
0.876164781,2.943043879,98.0691,99.9323,90.5488,86.478,99.9472,73.5849,0.6442
0.940985528,2.872376476,96.4322,99.9471,87.8695,85.1852,99.9551,71.9136,0.5371
1.046617396,2.627750243,99.0881,99.9516,87.7406,87.1069,99.9637,66.0377,0.6794
0.889129823,3.176463893,97.2727,99.9388,91.3131,84.5912,99.9544,76.7296,0.6156
0.994985443,2.901596444,98.1651,99.9267,92.8644,87.5758,99.9455,75.7576,0.6457
0.795390673,2.864294103,97.9859,99.948,90.0302,84.985,99.958,70.5706,0.6999
0.920487399,2.60016002,97.1972,99.9498,83.7838,87.963,99.9575,68.5185,0.6295
1.017604206,3.177660159,97.2892,99.934,89.8594,84.985,99.9554,70.5706,0.596
1.021881684,3.155894824,99.0937,99.9461,94.6626,84.6405,99.967,68.3007,0.6488
0.777226324,2.742977074,97.281,99.9463,90.6344,86.0841,99.9573,71.8447,0.6238
0.765759393,3.014106376,97.1803,99.9509,89.0232,83.6538,99.96,70.5128,0.6482
0.858098211,3.355584213,98.4709,99.9337,91.8451,87.3333,99.95,73,0.5006
0.947606947,3.205309136,96.738,99.9426,91.947,86.9841,99.954,71.746,0.7026
0.923804514,2.91775918,96.8876,99.9502,88.8554,84.2949,99.9631,73.0769,0.6199
0.823264151,2.856183461,97.4438,99.9591,89.6728,83.1804,99.9654,67.5841,0.6176
